Año,Clave_Ent,Entidad,Tipo_de_delito,Subtipo_de_delito,Modalidad,Sexo,Rango_de_edad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con arma de fuego,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con arma blanca,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con otro elemento,Mujer,Menores de edad (0-17),0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,No especificado,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con arma de fuego,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con arma blanca,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con otro elemento,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,No especificado,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con arma de fuego,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con arma blanca,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con otro elemento,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,No especificado,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Rapto,Rapto,Rapto,Mujer,Menores de edad (0-17),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con arma de fuego,Mujer,Adultos (18 y más),0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con arma blanca,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con otro elemento,Mujer,Adultos (18 y más),0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,No especificado,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con arma de fuego,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con arma blanca,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con otro elemento,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,No especificado,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con arma de fuego,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con arma blanca,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con otro elemento,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,No especificado,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Rapto,Rapto,Rapto,Mujer,Adultos (18 y más),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con arma de fuego,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con arma blanca,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,Con otro elemento,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Homicidio,Homicidio doloso,No especificado,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con arma de fuego,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con arma blanca,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,Con otro elemento,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Lesiones,Lesiones dolosas,No especificado,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con arma de fuego,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con arma blanca,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,Con otro elemento,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Feminicidio,Feminicidio,No especificado,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,1,Aguascalientes,Rapto,Rapto,Rapto,Mujer,No especificado,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2,Baja California,Homicidio,Homicidio doloso,Con arma de fuego,Mujer,Menores de edad (0-17),0,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
